Wood Supply Region	Species	Pruning	Thinnning	Planting coverage	Owner size	Age (years)	TRV (m3/ha)	Thinnings (m3/ha)	Pruned logs (m3/ha)	Unpruned logs (m3/ha)	Pulplogs (m3/ha)	Unpruned thinnings (m3/ha)	Pulplog thinnings (m3/ha)
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	39	608	0	140	319	149		
Northland	Radiata pine	Pruned	no production thinning	planted pre-1990	All sizes	40	619	0	142	325	152		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	11	90	0	0	68	22		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	12	114	0	0	86	28		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	13	140	0	0	105	35		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	14	167	0	0	126	41		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	15	194	0	0	146	48		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	16	221	0	0	167	54		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	17	248	0	0	186	62		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	18	275	0	0	207	68		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	19	303	0	0	228	75		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	20	329	0	0	251	78		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	21	354	0	0	270	84		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	22	379	0	0	289	90		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	23	403	0	0	307	96		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	24	426	0	0	325	101		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	25	450	0	0	343	107		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	26	472	0	0	360	112		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	27	493	0	0	381	112		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	28	513	0	0	396	117		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	29	535	0	0	413	122		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	30	555	0	0	428	127		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	31	574	0	0	443	131		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	32	593	0	0	458	135		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	33	610	0	0	471	139		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	34	629	0	0	486	143		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	35	645	0	0	498	147		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	36	664	0	0	513	151		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	37	680	0	0	525	155		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	38	695	0	0	537	158		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	39	710	0	0	548	162		
Northland	Radiata pine	unpruned	no production thinning	planted post-1989	All sizes	40	723	0	0	558	165		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	11	103	0	0	75	28		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	12	128	0	0	92	36		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	13	153	0	0	109	44		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	14	180	0	0	128	52		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	15	206	0	0	146	60		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	16	232	0	0	164	68		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	17	256	0	0	181	75		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	18	282	0	0	199	83		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	19	307	0	0	216	91		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	20	335	0	0	232	103		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	21	356	0	0	284	72		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	22	377	0	0	301	76		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	23	399	0	0	318	81		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	24	420	0	0	335	85		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	25	441	0	0	352	89		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	26	460	0	0	367	93		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	27	480	0	0	383	97		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	28	500	0	0	399	101		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	29	519	0	0	414	105		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	30	536	0	0	428	108		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	31	553	0	0	441	112		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	32	569	0	0	454	115		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	33	585	0	0	467	118		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	34	600	0	0	479	121		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	35	615	0	0	491	124		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	36	629	0	0	502	127		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	37	643	0	0	513	130		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	38	655	0	0	523	132		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	39	668	0	0	533	135		
Northland	Radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	40	679	0	0	542	137		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	11	5	0	0	2	3		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	12	8	0	0	3	5		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	13	14	0	0	5	9		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	14	21	0	0	8	13		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	15	30	0	0	13	17		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	16	41	0	0	18	23		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	17	54	0	0	25	29		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	18	69	0	0	33	36		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	19	85	0	0	42	43		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	20	104	0	0	53	51		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	21	124	0	0	66	58		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	22	146	0	0	80	66		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	23	169	0	0	96	73		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	24	194	0	0	113	81		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	25	220	0	0	132	88		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	26	246	0	0	152	94		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	27	274	0	0	173	101		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	28	302	0	0	195	107		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	29	331	0	0	219	112		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	30	361	0	0	243	118		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	31	382	0	0	260	122		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	32	410	0	0	284	126		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	33	441	0	0	312	129		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	34	476	0	0	345	131		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	35	507	0	0	377	130		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	36	545	0	0	413	132		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	37	577	0	0	443	134		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	38	610	0	0	475	135		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	39	642	0	0	505	137		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	40	682	0	0	544	138		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	41	717	0	0	578	139		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	42	754	0	0	614	140		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	43	791	0	0	650	141		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	44	827	0	0	684	143		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	45	864	0	0	720	144		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	46	900	0	0	755	145		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	47	934	0	0	788	146		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	48	969	0	0	822	147		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	49	1003	0	0	855	148		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	50	1032	0	0	884	148		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	51	1056	0	0	908	148		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	52	1082	0	0	934	148		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	53	1097	0	0	947	150		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	54	1120	0	0	969	151		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	55	1126	0	0	972	154		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	56	1147	0	0	992	155		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	57	1163	0	0	1011	152		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	58	1180	0	0	1027	153		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	59	1191	0	0	1039	152		
CNI	Douglas fir	NA	no production thinning	planted post-1989	All sizes	60	1210	0	0	1059	151		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	11	5	0	0	2	3		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	12	8	0	0	3	5		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	13	14	0	0	6	8		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	14	21	0	0	9	12		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	15	29	0	0	13	16		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	16	41	0	0	19	22		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	17	54	0	0	26	28		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	18	69	0	0	35	34		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	19	86	0	0	45	41		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	20	103	0	0	56	47		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	21	124	0	0	70	54		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	22	146	0	0	85	61		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	23	169	0	0	101	68		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	24	194	0	0	119	75		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	25	219	0	0	138	81		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	26	246	0	0	159	87		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	27	273	0	0	181	92		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	28	303	0	0	205	98		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	29	331	0	0	229	102		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	30	361	0	0	254	107		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	31	382	0	0	271	111		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	32	410	0	0	297	113		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	33	440	0	0	325	115		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	34	475	0	0	359	116		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	35	507	0	0	392	115		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	36	545	0	0	429	116		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	37	577	0	0	460	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	38	610	0	0	493	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	39	642	0	0	524	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	40	682	0	0	565	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	41	717	0	0	599	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	42	754	0	0	637	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	43	790	0	0	673	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	44	827	0	0	709	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	45	864	0	0	746	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	46	900	0	0	782	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	47	934	0	0	816	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	48	969	0	0	851	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	49	1003	0	0	885	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	50	1032	0	0	915	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	51	1055	0	0	939	116		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	52	1081	0	0	966	115		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	53	1097	0	0	980	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	54	1120	0	0	1002	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	55	1126	0	0	1006	120		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	56	1147	0	0	1026	121		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	57	1163	0	0	1046	117		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	58	1180	0	0	1062	118		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	59	1190	0	0	1074	116		
CNI	Douglas fir	NA	no production thinning	planted 1979 - 1989	All sizes	60	1210	0	0	1095	115		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	11	6	0	0	3	3		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	12	8	0	0	4	4		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	13	13	0	0	7	6		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	14	20	0	0	11	9		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	15	27	0	0	15	12		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	16	36	0	0	21	15		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	17	47	0	0	28	19		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	18	59	0	0	36	23		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	19	72	0	0	45	27		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	20	87	0	0	55	32		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	21	102	0	0	66	36		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	22	117	0	0	77	40		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	23	135	0	0	90	45		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	24	153	0	0	104	49		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	25	172	0	0	118	54		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	26	191	0	0	133	58		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	27	211	0	0	149	62		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	28	231	0	0	165	66		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	29	251	0	0	182	69		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	30	285	0	0	198	87		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	31	305	0	0	215	90		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	32	302	0	0	217	85		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	33	321	0	0	234	87		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	34	340	0	0	251	89		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	35	362	0	0	271	91		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	36	382	0	0	290	92		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	37	405	0	0	311	94		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	38	427	0	0	332	95		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	39	451	0	0	355	96		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	40	476	0	0	380	96		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	41	502	0	0	405	97		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	42	527	0	0	430	97		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	43	553	0	0	455	98		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	44	580	0	0	481	99		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	45	605	0	0	505	100		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	46	629	0	0	529	100		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	47	651	0	0	550	101		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	48	671	0	0	569	102		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	49	689	0	0	586	103		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	50	705	0	0	601	104		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	51	722	0	0	617	105		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	52	738	0	0	632	106		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	53	751	0	0	645	106		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	54	763	0	0	655	108		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	55	775	0	0	667	108		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	56	783	0	0	674	109		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	57	796	0	0	686	110		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	58	810	0	0	699	111		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	59	821	0	0	710	111		
CNI	Douglas fir	NA	with production thinning	planted post-1989	All sizes	60	833	0	0	721	112		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	11	5	0	0	3	2		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	12	9	0	0	5	4		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	13	14	0	0	8	6		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	14	19	0	0	11	8		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	15	27	0	0	16	11		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	16	36	0	0	22	14		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	17	47	0	0	29	18		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	18	58	0	0	37	21		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	19	72	0	0	47	25		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	20	86	0	0	57	29		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	21	102	0	0	69	33		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	22	118	0	0	81	37		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	23	135	0	0	94	41		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	24	153	0	0	108	45		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	25	171	0	0	123	48		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	26	191	0	0	139	52		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	27	211	0	0	155	56		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	28	231	0	0	172	59		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	29	252	0	0	190	62		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	30	285	0	0	207	78		
CNI	Douglas fir	NA	with production thinning	planted 1979 - 1989	All sizes	31	304	0	0	224	80		
